,Name,Rating,Job Description,Total Employees,Comapny Type,Age,Location,Positive
0,TCS,3.8,IT Services & Consulting , 1 Lakh+ Employees , Public , 56 years old , Mumbai +351 more,"Job Security, Work Life Balance"
1,Accenture,4.0,IT Services & Consulting , 1 Lakh+ Employees , Public , 35 years old , Dublin +179 more,"Company Culture, Skill Development / Learning, Job Security"
2,Cognizant,3.9,IT Services & Consulting , 1 Lakh+ Employees , Forbes Global 2000 , 30 years old , Teaneck. New Jersey. +176 more,Skill Development / Learning
3,Wipro,3.8,IT Services & Consulting , 1 Lakh+ Employees , Public , 79 years old , Bangalore/Bengaluru +276 more,Job Security
4,Capgemini,3.8,IT Services & Consulting , 1 Lakh+ Employees , Public , 57 years old , Paris +143 more,"Job Security, Work Life Balance, Skill Development / Learning"
5,HDFC Bank,3.9,Banking , 1 Lakh+ Employees , Public , 30 years old , Mumbai +1568 more,"Job Security, Skill Development / Learning"
6,ICICI Bank,4.0,Banking , 1 Lakh+ Employees , Public , 30 years old , Mumbai +1305 more,"Job Security, Skill Development / Learning, Company Culture"
7,Infosys,3.8,IT Services & Consulting , 1 Lakh+ Employees , Public , 43 years old , Bengaluru/Bangalore +182 more,"Job Security, Company Culture, Skill Development / Learning"
8,HCLTech,3.6,IT Services & Consulting , 1 Lakh+ Employees , Public , 33 years old , Noida +183 more,Job Security
9,Tech Mahindra,3.7,IT Services & Consulting , 1 Lakh+ Employees , Public , 38 years old , Pune +273 more,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction"
10,Genpact,3.9,IT Services & Consulting , 1 Lakh+ Employees , Public , 27 years old , New York +117 more,"Job Security, Skill Development / Learning, Work Life Balance"
11,Teleperformance,3.8,BPO , 50k-1 Lakh Employees , Forbes Global 2000 , 46 years old , Paris +192 more,Promotions / Appraisal
12,Axis Bank,3.8,Banking , 50k-1 Lakh Employees , Public , 31 years old , Mumbai +1328 more,Job Security
13,Concentrix Corporation,3.9,BPO , 50k-1 Lakh Employees , Public , 41 years old , Fremont +119 more,"Job Security, Company Culture"
14,Amazon,4.1,Internet , 1 Lakh+ Employees , Public , 30 years old , Seattle +440 more,"Company Culture, Salary & Benefits, Work Life Balance"
15,Jio,4.0,Telecom , 50k-1 Lakh Employees , Public , 6 years old , Navi Mumbai +1184 more,"Job Security, Skill Development / Learning"
16,IBM,4.1,IT Services & Consulting , 1 Lakh+ Employees , Public , 113 years old , Armonk +149 more,"Work Life Balance, Job Security, Skill Development / Learning"
17,Reliance Retail,3.9,,,,,,"Skill Development / Learning, Job Security"
18,HDB Financial Services,4.0,,,,,,"Skill Development / Learning, Job Security, Company Culture"
19,iEnergizer,4.7,,,,,,"Company Culture, Skill Development / Learning, Job Security"
20,Larsen & Toubro Limited,4.0,Engineering & Construction , 10k-50k Employees , Public , 86 years old , Mumbai +630 more,"Job Security, Skill Development / Learning"
21,BYJU'S,3.1,EdTech , 10k-50k Employees , Indian Unicorn , 13 years old , Bangalore +308 more,"Job Security, Work Life Balance, Company Culture"
22,Deloitte,3.9,,,,,,"Job Security, Skill Development / Learning, Salary & Benefits"
23,Kotak Mahindra Bank,3.8,Banking , 50k-1 Lakh Employees , Public , 21 years old , Mumbai +583 more,Job Security
24,Vodafone Idea,4.2,Telecom , 5k-10k Employees , Public , 6 years old , Mumbai +642 more,"Company Culture, Work Life Balance, Salary & Benefits"
25,Reliance Industries,4.1,Oil & Gas , 1 Lakh+ Employees , Public , 47 years old , Navi Mumbai +696 more,"Job Security, Skill Development / Learning, Work Life Balance"
26,Bharti Airtel,4.0,Telecom , 10k-50k Employees , Public , 29 years old , Gurgaon/Gurugram +672 more,"Skill Development / Learning, Job Security, Company Culture"
27,Tata Motors,4.2,Automobile , 10k-50k Employees , Public , 79 years old , Pune +438 more,"Job Security, Skill Development / Learning, Company Culture"
28,WNS,3.5,,,,,,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction"
